ray,radius_kpc,ref_accel_mag,ref_selfconv_rel_l2,galax-50_rel_l2,galax-50_angle_deg,galax-100_rel_l2,galax-100_angle_deg,galax-200_rel_l2,galax-200_angle_deg,galax-500_rel_l2,galax-500_angle_deg,galpy-50_rel_l2,galpy-50_angle_deg
y-axis,0.01778279410038923,0.4397159441150723,1.9252089163611966e-13,1.57458103149963e-11,0.0,1.5744042910089487e-11,0.0,1.5752753691415917e-11,0.0,1.5733817210271502e-11,0.0,7.58721677857903e-14,0.0
y-axis,0.021544346900318832,0.5233381362737174,1.8626118527522646e-13,1.5743100864884023e-11,0.0,1.5741191581663672e-11,0.0,1.5749465142285184e-11,0.0,1.5731008737821813e-11,0.0,7.276490495377514e-14,0.0
y-axis,0.026101572156825358,0.6178089308871855,1.829379574434451e-13,1.5738414845781408e-11,0.0,1.573715692269487e-11,0.0,1.574506386781025e-11,0.0,1.572745294459872e-11,0.0,6.864665986582398e-14,0.0
y-axis,0.03162277660168379,0.7208068740117486,1.6634703549947363e-13,1.573504333306081e-11,0.0,1.5733657107764988e-11,0.0,1.57410503093427e-11,0.0,1.5724569630825725e-11,0.0,6.530661393684125e-14,0.0
y-axis,0.03831186849557287,0.8269418523190973,1.5385792636472788e-13,1.5728549430653433e-11,0.0,1.572747537881145e-11,0.0,1.573432245930408e-11,0.0,1.571901722055585e-11,0.0,5.893859482908023e-14,0.0
y-axis,0.046415888336127774,0.9264236208871225,1.2954668496798484e-13,1.5720687956429148e-11,0.0,1.5719489559713446e-11,0.0,1.5725241863948803e-11,0.0,1.5712538858762386e-11,0.0,5.0931860417576954e-14,0.0
y-axis,0.05623413251903491,1.0043250627489706,9.794215401987394e-14,1.5707887491762685e-11,0.0,1.5707003138227524e-11,0.0,1.5711424905903338e-11,0.0,1.570169701701655e-11,0.0,3.8469378779818815e-14,0.0
y-axis,0.06812920690579612,1.0420491411629653,5.77459215287328e-14,1.569304015813708e-11,0.0,1.569218781981194e-11,0.0,1.5694744834787364e-11,0.0,1.5689204635673944e-11,0.0,2.3013134778979717e-14,0.0
y-axis,0.08254041852680181,1.0231736522197763,9.114653594351983e-15,1.5674382980087313e-11,0.0,1.5674382980087313e-11,0.0,1.5674599995649084e-11,0.0,1.5673731933402007e-11,0.0,4.340311235405746e-15,0.0
y-axis,0.1,0.9439861621588864,4.034026267668411e-14,1.5655785441706357e-11,0.0,1.5656138271992157e-11,0.0,1.5654138900372626e-11,0.0,1.565837286380222e-11,0.0,1.4113211432075506e-14,0.0
